ID,Region,Country,City,Building Tenure,Primary Use,Area,Area Type,Lease Expiry Date,Break Option Date,Currency,Rental Cost,Lease Until Expiry,Per Square Meter
0,N. Europe,Austria,Vienna,Leased,Parking,0,sqm,,,USD,2987,,N/A
1,Americas,Brazil,Rio de Janeiro,Owned,Office,449.000199,sqm,,,USD,,,N/A
2,Americas,Chile,Valparaiso,Owned,Office,232.722015,sqm,,,USD,,,N/A
3,S. Europe,Croatia,Rijeka,Leased,Office,0,sqm,2022-10-14,,USD,,,N/A
4,S. Europe,Croatia,Zagreb,Owned,Office,1317.72,sqm,,,USD,,,N/A
5,N. Europe,Czech Republic,Prague,Leased,Parking,0,sqm,,,USD,900,,N/A
6,SAMEA,Egypt,Cairo,Owned,Office,249.165846,sqm,,,USD,,,N/A
7,S. Europe,France,Dunkirk,Owned,Office,527,sqm,,,USD,,,N/A
8,S. Europe,France,Nantes,Owned,Office,635.07,sqm,,,USD,,,N/A
9,N. Europe,Germany,Bremerhaven,Leased,Parking,0,sqm,,,USD,8204,,N/A
10,N. Europe,Germany,Hamburg,Leased,Parking,0,sqm,2021-03-31,,USD,15786,-7438.882,N/A
11,N. Europe,Germany,Hamburg,Leased,Parking,0,sqm,2022-03-31,,USD,24315,12856.973,N/A
12,SAMEA,India,Chennai,Owned,Office,153.28995,sqm,,,USD,,,N/A
13,SAMEA,India,Mumbai,Owned,Residential,92.903,sqm,,,USD,,,N/A
14,SAMEA,India,Mumbai,Owned,Residential,58.064375,sqm,,,USD,,,N/A
15,SAMEA,India,Mumbai,Owned,Residential,78.96755,sqm,,,USD,,,N/A
16,SAMEA,India,Mumbai,Owned,Storage,287.9993,sqm,,,USD,,,N/A
17,SAMEA,India,Pune,Owned,Storage,60.38695,sqm,,,USD,,,N/A
18,SAMEA,India,Vadodara,Owned,Storage,72.46434,sqm,,,USD,,,N/A
19,S. Europe,Italy,Brescia,Owned,Office,1184.03,sqm,,,USD,,,N/A
20,S. Europe,Italy,Genoa,Owned,Office,5059.04,sqm,,,USD,,,N/A
21,S. Europe,Italy,Palermo,Owned,Office,1076.39,sqm,,,USD,,,N/A
22,SAMEA,Nigeria,Lagos,Leased,Residential,0,sqm,2021-02-28,,USD,21763,-12103.805,N/A
23,N. Europe,Norway,Stavanger,Leased,Residential,0,sqm,,,USD,6095,,N/A
24,Americas,Panama,Balboa,Owned,Office,241.919412,sqm,,,USD,,,N/A
25,Americas,Peru,Callao,Leased,Office,11.612875,sqm,2022-09-30,,USD,,,N/A
26,S. Europe,Portugal,Lisbon,Owned,Office,1711.46,sqm,,,USD,,,N/A
27,S. Europe,Spain,Madrid,Owned,Storage,252.95,sqm,,,USD,,,N/A
28,S. Europe,Spain,Madrid,Owned,Office,9628.32,sqm,,,USD,,,N/A
29,S. Europe,Turkey,Istanbul,Leased,Office,0,sqm,2021-09-14,,USD,,,N/A
30,S. Europe,Turkey,Istanbul,Leased,Office,0,sqm,2022-10-04,,USD,,,N/A
31,SAMEA,UAE,Dubai,Leased,Residential,0,sqm,2022-05-14,,USD,33259,21595.570,N/A
32,UK & I,England,London,Owned,Office,0,sqm,,,USD,,,N/A
33,Americas,Venezuela,Caracas,Owned,Office,176.9997246,sqm,,,USD,,,N/A
34,UK & I,England,Southampton,Leased,Office,0,sqm,,,USD,72468,,N/A
35,SAMEA,Malaysia,Labuan,Leased,Office,0,sqm,2022-08-31,,USD,2840,2692.164,N/A
36,UK & I,England,Evanton,No data,Office,0,sqm,,,USD,,,N/A
37,UK & I,England,Scunthorpe,No data,Office,0,sqm,,,USD,,,N/A
38,S. Europe,Spain,Bilbao,Owned,Office,5942,sqm,,,USD,,,N/A
39,S. Europe,Spain,Las Palmas,Owned,Office,1980.56,sqm,,,USD,,,N/A
40,SAMEA,Australia,Sydney,Owned,Parking,0,sqm,,,USD,,,N/A
41,UK & I,Scotland,Glasgow,Leased,Parking,0,sqm,2023-06-21,,USD,4550,7978.082,N/A
42,SAMEA,UAE,Dubai,Leased,Residential,0,sqm,2026-02-03,,USD,42613,186563.216,N/A
43,S. Europe,Italy,Monfalcone,No data,Office,0,sqm,,,USD,,,N/A
44,UK & I,Scotland,Aberdeen,Owned,Office,344.577227,sqm,,,USD,,,N/A
45,UK & I,Scotland,Aberdeen,Owned,Office,860.095974,sqm,,,USD,,,N/A
46,UK & I,Scotland,Alford,Owned,Office,65.310809,sqm,,,USD,,,N/A
47,Americas,USA,Maine,Owned,Office,743.224,sqm,,,USD,,,N/A
48,UK & I,England,Manchester,Leased,Office,0,sqm,2022-06-30,,USD,46800,36414.247,N/A
49,SAMEA,India,Kolkata,Leased,Office,0,sqm,2021-02-28,,USD,939,-522.238,N/A
50,SAMEA,UAE,Dubai,Leased,Residential,0,sqm,2022-11-14,,USD,27023,31168.995,N/A
51,Americas,Curacao,Willemstad,Owned,Office,1379.981162,sqm,,,USD,,,N/A
52,UK & I,England,Sellafield,Leased,Office,0,sqm,2019-09-30,,USD,,,N/A
53,SAMEA,Philippines,Subic Bay,Leased,Residential,0,sqm,2021-03-30,,USD,8519,-4037.773,N/A
54,SAMEA,Philippines,Zambales,Leased,Residential,0,sqm,2021-07-15,,USD,2943,-532.159,N/A
55,N. Europe,Netherlands,Serooskerke,Owned,Office,0,sqm,,,USD,,,N/A
56,SAMEA,Australia,Cairns,Leased,Office,0,sqm,2021-02-28,,USD,5427,-3018.304,N/A
57,S. Europe,Serbia,Beograd,Leased,Office,0,sqm,2022-03-31,,USD,1717,907.893,N/A
58,North Asia,China,Shanghai,Leased,Residential,0,sqm,2022-06-30,,USD,20101.52,15640.635,N/A
59,North Asia,China,Shanghai,Leased,Residential,0,sqm,2022-06-30,,USD,42561,33115.956,N/A
60,SAMEA,Philippines,Subic Bay,Leased,Residential,0,sqm,2022-06-30,,USD,7636,5941.436,N/A
61,SAMEA,South Africa,Durban,Leased,Residential,0,sqm,2021-02-28,,USD,7559,-4204.047,N/A
